SITE_ID,VISIT_NO,INDEX_SITE_DEPTH
NLA12_OH-113,1,3.2
NLA12_OH-115,1,7.3
NLA12_OH-118,1,5.2
NLA12_OH-118,2,5.2
NLA12_OH-122,1,3.9
NLA12_OH-127,1,12
NLA12_OH-134,1,2.6
NLA12_OH-136,1,2.3
NLA12_OH-137,1,12.5
NLA12_OK-101,1,7.2
NLA12_OK-101,2,8.4
NLA12_OK-102,1,5
NLA12_OK-103,1,16.5
NLA12_OK-104,1,13
NLA12_OK-105,1,1.7
NLA12_OK-106,1,3.5
NLA12_OK-107,1,9.6
NLA12_OK-108,1,5.7
NLA12_OK-109,1,4.6
NLA12_OK-117,1,1
NLA12_OK-118,1,2.5
NLA12_OK-119,1,7.5
NLA12_OK-120,1,5.2
NLA12_OK-121,1,2.8
NLA12_OK-122,1,2.2
NLA12_OK-132,1,2.6
NLA12_OK-133,1,1.5
NLA12_OK-134,1,3.7
NLA12_OK-135,1,6
NLA12_OK-285,1,4.7
NLA12_OK-286,1,1
NLA12_OK-288,1,4
NLA12_OK-291,1,1.3
NLA12_OK-292,1,1.5
NLA12_OK-293,1,2
NLA12_OK-296,1,1.3
NLA12_OK-299,1,13.2
NLA12_OK-299,2,14.5
NLA12_OK-302,1,5.5
NLA12_OK-306,1,3.1
NLA12_OK-311,1,5.5
NLA12_OR-101,1,4.3
NLA12_OR-102,1,3.3
NLA12_OR-103,1,3.8
NLA12_OR-103,2,3.1
NLA12_OR-104,1,5.5
NLA12_OR-105,1,12.8
NLA12_OR-106,1,41.6
NLA12_OR-107,1,14.8
NLA12_OR-109,1,52.6
NLA12_OR-110,1,16.5
NLA12_OR-111,1,1
NLA12_OR-112,1,8.6
NLA12_OR-113,1,23.4
NLA12_OR-121,1,7
NLA12_OR-121,2,7.1
NLA12_OR-123,1,11.3
NLA12_OR-126,1,20
NLA12_OR-128,1,53.7
NLA12_OR-129,1,9
NLA12_OR-131,1,2.1
NLA12_OR-133,1,2.9
NLA12_OR-144,1,1.6
NLA12_OR-145,1,2.7
NLA12_OR-154,1,8.4
NLA12_OR-155,1,10.9
NLA12_OR-158,1,1.5
NLA12_OR-160,1,2.7
NLA12_OR-163,1,2.1
NLA12_OR-167,1,5.2
NLA12_OR-169,1,43.1
NLA12_OR-173,1,5
NLA12_PA-101,1,28.7
NLA12_PA-101,2,17.7
NLA12_PA-102,1,4.5
NLA12_PA-103,1,8.2
NLA12_PA-105,1,4.1
NLA12_PA-106,1,25.4
NLA12_PA-107,1,2.7
NLA12_PA-108,1,7.3
NLA12_PA-108,2,7.01
NLA12_PA-109,1,3.1
NLA12_PA-110,1,2.2
NLA12_PA-111,1,6.1
NLA12_PA-113,1,12.8
NLA12_PA-114,1,8.4
NLA12_PA-115,1,3.4
NLA12_PA-117,1,1.4
NLA12_PA-118,1,4.2
NLA12_PA-119,1,17
NLA12_RI-102,1,1.1
NLA12_RI-102,2,1
NLA12_RI-103,1,3.8
NLA12_RI-104,1,2.1
NLA12_RI-108,1,2.4
NLA12_RI-110,1,2.2
NLA12_RI-111,1,4.4
NLA12_RI-111,2,4.3
NLA12_RI-112,1,1.6
NLA12_RI-113,1,2.1
NLA12_SC-102,1,2.6
NLA12_SC-103,1,28.2
NLA12_SC-103,2,30.3
NLA12_SC-104,1,1.9
NLA12_SC-104,2,2
NLA12_SC-105,1,2.6
NLA12_SC-106,1,5.3
NLA12_SC-108,1,2.5
NLA12_SC-112,1,NA
NLA12_SC-112,2,3.2
NLA12_SC-118,1,4.8
NLA12_SC-127,1,2.4
NLA12_SD-101,1,28
NLA12_SD-101,2,26.1
NLA12_SD-102,1,5.5
NLA12_SD-103,1,2.8
NLA12_SD-104,1,6.2
NLA12_SD-105,1,4
NLA12_SD-106,1,7.4
NLA12_SD-107,1,6.4
NLA12_SD-108,1,3
NLA12_SD-109,1,2.2
NLA12_SD-110,1,7.5
NLA12_SD-111,1,3.5
NLA12_SD-114,1,1.5
NLA12_SD-115,1,1.1
NLA12_SD-115,2,1
NLA12_SD-119,1,2
NLA12_SD-122,1,1.7
NLA12_SD-124,1,2.1
NLA12_SD-126,1,2
NLA12_SD-130,1,1
NLA12_SD-131,1,1.8
NLA12_SD-132,1,2
NLA12_SD-133,1,1.4
NLA12_SD-134,1,2.2
NLA12_SD-137,1,2.2
NLA12_SD-138,1,5.4
NLA12_SD-140,1,2.2
NLA12_SD-141,1,3.2
NLA12_SD-143,1,2.8
NLA12_SD-146,1,1
NLA12_SD-147,1,4.7
NLA12_SD-150,1,1
NLA12_SD-154,1,3.2
NLA12_SD-157,1,5
NLA12_SD-158,1,3
NLA12_SD-162,1,1.4
NLA12_SD-165,1,3
NLA12_SD-166,1,1.6
NLA12_SD-168,1,4.8
NLA12_SD-170,1,1.5
NLA12_SD-172,1,2.2
NLA12_SD-182,1,4.8
NLA12_SD-183,1,7
NLA12_SD-189,1,2
NLA12_SD-198,1,1.3
NLA12_SD-212,1,4.3
NLA12_TN-101,1,3.8
NLA12_TN-101,2,3.8
NLA12_TN-103,1,4
NLA12_TN-104,1,13.5
NLA12_TN-106,1,3
NLA12_TN-108,1,4
