SITE_ID,VISIT_NO,MICL_RESULT_ppb
NLA12_IN-164,1,0.11644
NLA12_ME-101,1,0.04559
NLA12_ME-126,1,0
NLA12_NE-107,1,0.27871
NLA12_OR-112,1,0.67997
NLA12_VA-112,1,0.07292
NLA12_VA-123,1,0.15386
NLA12_WI-R13,1,0.07107
NLA12_MI-150,1,0.13062000000000001
NLA12_GA-111,1,0
NLA12_IN-102,1,0.21567
NLA12_IN-106,1,0.10107
NLA12_MI-125,1,0.05572
NLA12_CA-108,1,0.04293
NLA12_UT-118,1,0.08387
NLA12_CT-103,1,0.07409
NLA12_MN-177,1,0
NLA12_PA-108,2,0.86
NLA12_TX-116,1,0.46377
NLA12_IN-166,1,0.1146
NLA12_WI-134,1,64.83
NLA12_OR-102,1,189.382
NLA12_AR-109,1,0.03898
NLA12_AR-104,1,0.16042
NLA12_FL-130,1,0.07196
NLA12_MN-167,1,0.48
NLA12_NC-127,1,0.08695
NLA12_ME-120,1,0.04201
NLA12_AZ-103,1,0.10562
NLA12_FL-102,2,0.30455
NLA12_CO-133,1,0.08837
NLA12_MN-160,1,0.18
NLA12_IN-159,1,0.113
NLA12_NE-111,1,0.06727
NLA12_FL-109,1,0.35393
NLA12_FL-105,1,0.18436
NLA12_NE-112,1,0.12089
NLA12_UT-218,1,0.20806
NLA12_SC-112,2,0
NLA12_NC-124,1,0.18113
NLA12_NC-115,1,0
NLA12_SD-131,1,0.37701
NLA12_ND-156,1,4.37654
NLA12_WY-116,1,0.06211
NLA12_SC-118,1,0.185
NLA12_IN-120,1,0.10315
NLA12_IN-145,1,0.16912
NLA12_FL-110,2,0
NLA12_FL-126,1,0.7448
NLA12_MO-105,1,0.10587
NLA12_MO-110,1,0
NLA12_ID-112,2,0
NLA12_IN-101,2,0.092
NLA12_WA-109,1,0
NLA12_CA-103,1,0
NLA12_ME-102,1,0.10617
NLA12_OR-109,1,0.07165
NLA12_IN-149,1,0.1015
NLA12_IN-179,1,0.10814
NLA12_IN-187,1,0.09659
NLA12_ME-116,1,0
NLA12_MN-152,1,0.17
NLA12_MT-140,1,0
NLA12_NE-125,1,0.13869
NLA12_SC-102,1,0.08735
NLA12_WY-R04,1,0
NLA12_IL-112,1,0.4197
NLA12_CA-111,2,0
NLA12_SD-115,2,3.04314
NLA12_ME-R07,1,0.08683
NLA12_MN-112,1,0.49
NLA12_WI-161,1,0
NLA12_MN-135,1,0.41
NLA12_OR-128,1,0.83238
NLA12_CT-108,1,0.21732
NLA12_NY-0104,2,0.13032
NLA12_MD-104,1,0.39369
NLA12_WA-133,1,0
NLA12_CO-130,1,0
NLA12_UT-126,1,0
NLA12_OK-107,1,0
NLA12_NE-121,1,3.96168
NLA12_VA-127,1,0.07217
NLA12_VA-130,1,0.0636
NLA12_MN-114,1,3.08
NLA12_DE-103,1,0.17325
NLA12_IL-116,1,1.29884
NLA12_MO-108,2,0.06678
NLA12_PA-113,1,0
NLA12_MD-105,2,0.24811
NLA12_IN-185,1,0.46478
NLA12_CA-135,1,0
NLA12_CA-123,1,0
NLA12_SD-101,2,0.06914
NLA12_GA-112,2,0.05273
NLA12_TX-128,1,0.08169
NLA12_OR-144,1,0.0684
NLA12_UT-159,1,0
NLA12_UT-147,1,0
NLA12_SC-127,1,0.09324
NLA12_WY-R01,1,0
NLA12_MT-144,1,0
NLA12_SD-143,1,3.12326
NLA12_SC-104,2,0.10155
NLA12_IN-103,1,2.38378
NLA12_ME-129,1,0.57586
NLA12_IN-163,1,0.10605
NLA12_ME-118,1,0
NLA12_AZ-145,1,0.44025
NLA12_AR-101,2,0
NLA12_AR-105,2,0.05912
NLA12_OH-101,1,0.13729
NLA12_CO-131,2,0.10892
NLA12_FL-141,1,0.09056
NLA12_GA-R11,1,0
NLA12_NE-105,1,3.36436
