SITE_ID,VISIT_NO,MAGNESIUM_mgL,DOC_mgL,SILICA_mgL,CHLORIDE_mgL,COND_USCM,NITRATE_N_mgL,PH,CHLA_ugL,NTL_mgL,TURB_NTL,AMMONIA_N_mgL,POTASSIUM_mgL,SULFATE_mgL,SODIUM_mgL,COLOR_ALPHA,ANC_ueqL,CALCIUM_mgL,PTL_ugL,NITRITE_N_mgL,ALUMINUM_mgL,NITRATE_NITRITE_N_mgL,TKN_mgL,BATCH_ID
NLA17_GA-10008,1,1.15,1.11,1.884,1.925,57.7,3e-4,4.46,0.98,0.095,1.74,0.006,0.789,14.366,1.301,4,-35.34,1.826,7.325,0,NA,NA,NA,NA
NLA17_OH-10003,1,4.211,2.59,1.452,2.648,96.9,0,7.61,2.62,0.215,2.26,0.007,1.724,19.293,2.883,5,386.72,7.838,5.8025,0,NA,NA,NA,NA
NLA17_RI-10006,1,1.105,7.13,2.804,18.381,94.8,0.0023,6.87,11.22,0.443,0.87,0.023,0.951,4.38,11.967,72,120.45,3.35,23.7175,0.002,NA,NA,NA,NA
NLA17_SD-10088,1,211.496,21.41,21.956,16.683,2426.5,0,8.35,9.44,2.188,2.46,0.076,20.954,1191.372,133.521,50,5765.38,150.269,182.55125,0,NA,NA,NA,NA
NLA17_ND-10082,1,36.537,19.79,6.293,1.622,395,0,9.64,15.2,2.226,4.84,0.122,5.895,0.015,21.962,37,4730.89,13.704,104.3175,0,NA,NA,NA,NA
NLA17_ND-10016,1,112.235,31.51,27.904,10.787,1243.3,0.0061,8.93,55.44,4.4,6.25,0.201,29.878,204.009,69.178,70,11516.75,37.392,296.49875,0,NA,NA,NA,NA
NLA17_IN-10068,1,21.48,6.53,1.005,17.148,354.7,0,8.74,21.52,0.955,18.78,0.009,5.842,16.917,11.056,10,2892.26,24.214,54.56375,0,NA,NA,NA,NA
NLA17_MA-10017,1,2.669,11.32,4.951,45.484,231.5,1e-4,7.31,26.17,1.778,18.49,0.522,1.383,2.248,25.607,76,560.81,11.391,280.43875,0,NA,NA,NA,NA
NLA17_ME-10020,1,0.841,6.69,3.952,1.96,33.7,2e-4,7.22,1.71,0.256,0.8,0.011,0.335,1.392,2.178,40,218.08,3.348,11.6925,0,NA,NA,NA,NA
NLA17_IA-10029,1,19.206,6.51,18.912,1.872,357.9,0,8.37,45.6,1.053,8.14,0.013,1.88,17.402,6.168,15,3325.24,40.753,228.46875,0,NA,NA,NA,NA
NLA17_ME-HP001,1,0.761,4.57,1.017,0.261,25.4,0,7.17,2.18,0.219,0.47,0.008,0.758,2.255,0.968,22,155.73,2.432,6.555,0,NA,NA,NA,NA
NLA17_ME-HP002,1,1.031,8.86,3.217,0.254,27.7,3e-4,7.19,1.66,0.324,0.76,0.009,0.36,1.986,0.978,40,184.24,3.097,6.78375,0,NA,NA,NA,NA
NLA17_MS-10019,1,1.182,3.64,4.66,1.224,60.2,0,7.73,8.61,0.396,2.62,0.007,1.056,4.403,1.434,0,412.97,7.76,15.09125,0,NA,NA,NA,NA
NLA17_NH-10999,1,0.353,3.67,1.62,0.853,26.8,1e-4,7.27,1.8,0.149,0.54,0.006,0.2,1.414,0.892,10,186.01,3.817,2.91625,0,NA,NA,NA,NA
NLA17_NJ-10025,1,4.525,4.44,2.866,42.21,229.3,0,7.53,106.13,0.819,9.31,0.071,1.912,2.472,21.621,18,678.39,13.305,96.19125,0,NA,NA,NA,NA
NLA17_OR-10024,1,0.037,0.67,2.236,0.099,3.4,0,6.34,0.24,0.056,0.27,0.005,0.095,0.056,0.263,0,21.69,0.1,1.35875,0,NA,NA,NA,NA
